DonorID,Name,Phone,Email,City,SignupDate,Past_Donations,Reliability_Score,Last_Feedback,Flagged
D00001,Donor 1,+919906402157,donor1@example.com,Chennai,2023-04-25,7,0.81,5,False
D00002,Donor 2,+919585650756,donor2@example.com,Delhi,2023-03-31,0,0.77,3,False
D00003,Donor 3,+917027911967,donor3@example.com,Pune,2023-07-23,13,0.81,3,False
D00004,Donor 4,+917398340369,donor4@example.com,Delhi,2024-03-08,6,0.99,4,False
D00005,Donor 5,+919303082117,donor5@example.com,Hyderabad,2023-04-10,8,0.95,3,False
D00006,Donor 6,+917196814233,donor6@example.com,Hyderabad,2024-01-23,11,0.89,5,False
D00007,Donor 7,+918947382419,donor7@example.com,Delhi,2023-08-22,7,0.97,5,False
D00008,Donor 8,+919935814872,donor8@example.com,Hyderabad,2024-01-09,6,0.92,5,False
D00009,Donor 9,+919748778024,donor9@example.com,Delhi,2023-03-15,7,0.79,5,False
D00010,Donor 10,+918354860540,donor10@example.com,Mumbai,2023-08-13,1,0.81,4,False
D00011,Donor 11,+919761027762,donor11@example.com,Bengaluru,2023-10-02,10,0.8,4,False
D00012,Donor 12,+919506254832,donor12@example.com,Bengaluru,2023-05-27,8,0.94,4,False
D00013,Donor 13,+917202363285,donor13@example.com,Mumbai,2024-01-06,4,0.88,3,False
D00014,Donor 14,+919559321289,donor14@example.com,Delhi,2023-06-06,13,0.9,4,False
D00015,Donor 15,+919306270004,donor15@example.com,Mumbai,2024-06-25,0,0.92,4,False
D00016,Donor 16,+918131247330,donor16@example.com,Jaipur,2023-12-15,5,0.86,5,False
D00017,Donor 17,+917854316681,donor17@example.com,Bengaluru,2023-07-02,9,0.96,3,False
D00018,Donor 18,+917480468219,donor18@example.com,Bengaluru,2024-01-18,0,0.9,4,False
D00019,Donor 19,+919287955558,donor19@example.com,Kolkata,2023-11-11,7,0.33,1,False
D00020,Donor 20,+918817363615,donor20@example.com,Kolkata,2023-05-12,5,0.82,3,False
D00021,Donor 21,+917519709079,donor21@example.com,Bengaluru,2023-07-25,11,0.86,3,False
D00022,Donor 22,+919710566582,donor22@example.com,Mumbai,2023-08-19,7,0.9,3,False
D00023,Donor 23,+919873237671,donor23@example.com,Delhi,2023-08-23,10,0.77,4,False
D00024,Donor 24,+918748309234,donor24@example.com,Bengaluru,2023-08-08,15,0.81,3,False
D00025,Donor 25,+917232663462,donor25@example.com,Bengaluru,2023-04-07,11,0.86,5,False
D00026,Donor 26,+917822873088,donor26@example.com,Mumbai,2023-04-11,10,0.95,3,False
D00027,Donor 27,+917323775634,donor27@example.com,Delhi,2024-07-03,5,0.82,4,False
D00028,Donor 28,+918015242176,donor28@example.com,Ahmedabad,2023-04-11,0,0.99,3,False
D00029,Donor 29,+917009257255,donor29@example.com,Mumbai,2024-02-21,12,0.98,4,False
D00030,Donor 30,+917251183830,donor30@example.com,Delhi,2023-09-29,15,0.79,5,False
D00031,Donor 31,+919181106786,donor31@example.com,Mumbai,2023-03-04,20,0.45,1,True
D00032,Donor 32,+919446737272,donor32@example.com,Jaipur,2023-07-10,7,0.85,3,False
D00033,Donor 33,+918349409434,donor33@example.com,Delhi,2023-02-10,10,0.98,3,False
D00034,Donor 34,+917311570307,donor34@example.com,Ahmedabad,2023-09-29,9,0.86,3,False
